facility_name,facility_id,npi,citytown,state,zip_code,year,asc1_rate,asc1_footnote,asc2_rate,asc2_footnote,asc3_rate,asc3_footnote,asc4_rate,asc4_footnote,asc9_rate,asc9_footnote,asc11_rate,asc11_footnote,asc12_total_cases,asc12_performance_category,asc12_rshv_rate,asc12_interval_lower_limit,asc12_interval_upper_limit,asc12_footnote,asc13_rate,asc13_footnote,asc14_rate,asc14_footnote,asc17_total_cases,asc17_performance_category,asc17_rshv_rate,asc17_interval_lower_limit,asc17_interval_upper_limit,asc17_footnote,asc18_total_cases,asc18_performance_category,asc18_rshv_rate,asc18_interval_lower_limit,asc18_interval_upper_limit,asc18_footnote,asc19_total_cases,asc19_performance_category,asc19_rshv_rate,asc19_interval_lower_limit,asc19_interval_upper_limit,asc19_footnote,asc20_sample,asc20_rate,asc20_footnote
URLOGY AMBULATORY SURGERY CENTER LLC,44C0001118,1366422370,GERMANTOWN,TN,38138.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,131.0,0.0,
VALLEY ENDOSCOPY CENTER,05C0001296,1366422479,TARZANA,CA,91356.0,2023,,5.0,,1.0,,5.0,,1.0,97.24,,,5.0,2534.0,No Different Than the National Rate,10.2,8.0,13.3,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
VALLEY ENDOSCOPY CENTER,05C0001296,1366422479,TARZANA,CA,91356.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,26.0,100.0,
EAST WEST SURGERY CENTER LP,11C0001177,1366444929,AUSTELL,GA,30106.0,2023,,5.0,,5.0,,5.0,0.06,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
EAST WEST SURGERY CENTER LP,11C0001177,1366444929,AUSTELL,GA,30106.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,43.0,100.0,
PARKWAY SURGERY CENTER,29C0001036,1366446189,HENDERSON,NV,89074.0,2023,0.0,,0.0,,0.0,,0.05,,93.65,,,5.0,395.0,No Different Than the National Rate,9.6,6.7,13.6,,100.0,,,5.0,323.0,No Different Than the National Rate,2.6,1.7,3.8,,,,,,,5.0,28.0,No Different than expected,1.0,0.5,1.9,,,,5.0
PARKWAY SURGERY CENTER,29C0001036,1366446189,HENDERSON,NV,89074.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,478.0,93.1,
SHORE OUTPATIENT SURGICENTER LLC,31C0001099,1366449571,LAKEWOOD,NJ,8201.0,2023,,5.0,0.01,,,5.0,0.26,,94.21,,,5.0,3349.0,No Different Than the National Rate,10.9,8.6,13.7,,,5.0,,5.0,,,,,,5.0,1926.0,No Different Than the National Rate,4.3,3.6,5.3,,,Number of Cases Too Small,,,,1.0,,,5.0
SHORE OUTPATIENT SURGICENTER LLC,31C0001099,1366449571,LAKEWOOD,NJ,8201.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,82.0,0.0,
OREGON ENDOSCOPY CENTER LLC,38C0001044,1366449910,SPRINGFIELD,OR,97477.0,2023,0.0,,0.02,,0.0,,0.06,,88.94,,,5.0,3085.0,No Different Than the National Rate,9.8,7.6,12.7,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
OREGON ENDOSCOPY CENTER LLC,38C0001044,1366449910,SPRINGFIELD,OR,97477.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,67.0,8.4,
ALLEGHENY SURGERY CENTER LLC,39C0001181,1366451106,ALTOONA,PA,16602.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
ALLEGHENY SURGERY CENTER LLC,39C0001181,1366451106,ALTOONA,PA,16602.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,18.0,21.8,
WESTERN AVENUE DAY SURGERY CENTER DBA DIVISION OF PLASTIC AND HAND SURGICAL ASSOC,20C0001001,1366453730,SOUTH PORTLAND,ME,4106.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,144.0,No Different Than the National Rate,2.3,1.5,3.5,,,,,,,5.0,299.0,No Different than expected,1.0,0.6,1.6,,,,5.0
WESTERN AVENUE DAY SURGERY CENTER DBA DIVISION OF PLASTIC AND HAND SURGICAL ASSOC,20C0001001,1366453730,SOUTH PORTLAND,ME,4106.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,107.0,100.0,
SKYWAY SURGERY CENTER LLC,05C0001663,1366456618,CHICO,CA,95928.0,2023,,5.0,0.02,,0.0,,0.09,,73.97,,,5.0,1535.0,No Different Than the National Rate,12.1,9.0,16.1,,100.0,,0.14,,578.0,No Different Than the National Rate,2.4,1.7,3.4,,,,,,,5.0,67.0,No Different than expected,1.0,0.6,1.8,,,,5.0
SKYWAY SURGERY CENTER LLC,05C0001663,1366456618,CHICO,CA,95928.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,30.0,24.1,
VIRGINIA SURGERY CENTER LLC,49C0001042,1366496143,NORFOLK,VA,23502.0,2023,0.0,,0.01,,0.01,,0.09,,,5.0,,5.0,,,,,,5.0,100.0,,0.29,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
VIRGINIA SURGERY CENTER LLC,49C0001042,1366496143,NORFOLK,VA,23502.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,87.0,94.3,
MINIMALLY INVASIVE SURGERY CENTER PA,31C0001127,1366498347,LINWOOD,NJ,8221.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
MINIMALLY INVASIVE SURGERY CENTER PA,31C0001127,1366498347,LINWOOD,NJ,8221.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,13.0,2.6,
WHITE FLINT SURGERY LLC,21C0001317,1366511057,ROCKVILLE,MD,20850.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,5.0,,5.0,,,,,,7.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
WHITE FLINT SURGERY LLC,21C0001317,1366511057,ROCKVILLE,MD,20850.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
RIVERSIDE AMBULATORY SURGERY CENTER,26C0001097,1366515504,HAZELWOOD,MO,63042.0,2023,,5.0,0.04,,,5.0,0.34,,79.32,,,5.0,768.0,No Different Than the National Rate,9.8,7.1,13.7,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
RIVERSIDE AMBULATORY SURGERY CENTER,26C0001097,1366515504,HAZELWOOD,MO,63042.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,24.0,100.0,
NORTHWEST GASTROENTEROLOGY CLINIC LLC,38C0001046,1366529638,PORTLAND,OR,97210.0,2023,,5.0,0.03,,,5.0,0.05,,95.24,,,5.0,1778.0,No Different Than the National Rate,8.4,6.1,11.4,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NORTHWEST GASTROENTEROLOGY CLINIC LLC,38C0001046,1366529638,PORTLAND,OR,97210.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,28.0,60.7,
SOUTHWEST WASHINGTON REGIONAL SURGERY CENTER LLC,50C0001196,1366536880,VANCOUVER,WA,98664.0,2023,0.01,,0.02,,0.03,,0.1,,,5.0,,5.0,38.0,No Different Than the National Rate,10.1,7.0,14.4,,99.97,,,5.0,752.0,No Different Than the National Rate,1.9,1.3,2.7,,,,,,,5.0,48.0,No Different than expected,0.9,0.5,1.8,,,,5.0
SOUTHWEST WASHINGTON REGIONAL SURGERY CENTER LLC,50C0001196,1366536880,VANCOUVER,WA,98664.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,116.0,91.9,
SOUTHWEST FLORIDA INSTITUTE OF AMBULATORY SURGERY,10C0001020,1366549511,FORT MYERS,FL,33901.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,198.0,No Different Than the National Rate,9.5,6.6,13.5,,,5.0,,5.0,73.0,No Different Than the National Rate,2.1,1.4,3.3,,,,,,,5.0,257.0,No Different than expected,0.8,0.5,1.5,,,,5.0
SOUTHWEST FLORIDA INSTITUTE OF AMBULATORY SURGERY,10C0001020,1366549511,FORT MYERS,FL,33901.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
THE SURGICARE CENTER OF UTAH,46C0001006,1366550170,SALT LAKE CITY,UT,84107.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,0.16,,,,,,,5.0,,,,,,5.0,38.0,No Different than expected,0.9,0.5,1.7,,,,5.0
THE SURGICARE CENTER OF UTAH,46C0001006,1366550170,SALT LAKE CITY,UT,84107.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,30.0,0.0,
HARVARD PARK SURGERY CENTER LLC,06C0001110,1366559122,DENVER,CO,80210.0,2023,,5.0,,5.0,,5.0,0.11,,,5.0,,5.0,,,,,,5.0,98.05,,0.14,,,Number of Cases Too Small,,,,1.0,,,,,,5.0,42.0,No Different than expected,0.9,0.5,1.8,,,,5.0
HARVARD PARK SURGERY CENTER LLC,06C0001110,1366559122,DENVER,CO,80210.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,122.0,0.0,
NEW MILLENNIUM SURGERY CENTER PLLC,23C0001075,1366574410,SOUTHFIELD,MI,48034.0,2023,0.0,,0.0,,0.07,,0.07,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,226.0,No Different than expected,1.1,0.6,1.9,,,,5.0
NEW MILLENNIUM SURGERY CENTER PLLC,23C0001075,1366574410,SOUTHFIELD,MI,48034.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,40.0,0.0,
CERRITOS ENDOSCOPIC MEDICAL CENTER,05C0001451,1366633257,CERRITOS,CA,90703.0,2023,0.0,,0.0,,0.0,,0.0,,100.0,,,5.0,169.0,No Different Than the National Rate,9.3,6.5,13.4,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
CERRITOS ENDOSCOPIC MEDICAL CENTER,05C0001451,1366633257,CERRITOS,CA,90703.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,8.0,,1.0
GASTROINTESTINAL ASSOCIATES ENDOSCOPY CENTER LLC,25C0001065,1366634669,VICKSBURG,MS,39180.0,2023,0.0,,0.04,,0.0,,0.09,,98.25,,,5.0,1177.0,No Different Than the National Rate,9.0,6.5,12.4,,,1.0,,5.0,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
GASTROINTESTINAL ASSOCIATES ENDOSCOPY CENTER LLC,25C0001065,1366634669,VICKSBURG,MS,39180.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,17.0,0.0,
APPLE SURGERY CENTER,05C0001864,1366635609,BAKERSFIELD,CA,93312.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,242.0,No Different Than the National Rate,10.7,7.5,15.1,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
APPLE SURGERY CENTER,05C0001864,1366635609,BAKERSFIELD,CA,93312.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SPECIALTY SURGICAL CENTER OF THOUSAND OAKS LP,05C0001849,1366643751,WESTLAKE VILLAGE,CA,91361.0,2023,0.0,,0.02,,0.0,,0.1,,32.0,,,5.0,268.0,No Different Than the National Rate,9.4,6.6,13.5,,100.0,,,5.0,118.0,No Different Than the National Rate,2.3,1.5,3.5,,,,,,,5.0,33.0,No Different than expected,1.0,0.5,1.8,,,,5.0
SPECIALTY SURGICAL CENTER OF THOUSAND OAKS LP,05C0001849,1366643751,WESTLAKE VILLAGE,CA,91361.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,65.0,77.6,
NORTH POINTE SURGERY CENTER LP,39C0001252,1366647968,LANCASTER,PA,17601.0,2023,0.0,,0.0,,0.0,,0.09,,,5.0,,5.0,,,,,,5.0,99.36,,,5.0,518.0,No Different Than the National Rate,2.2,1.5,3.1,,,,,,,5.0,25.0,No Different than expected,1.0,0.5,1.8,,,,5.0
NORTH POINTE SURGERY CENTER LP,39C0001252,1366647968,LANCASTER,PA,17601.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,115.0,4.1,
MIAMI VALLEY AMBULATORY SURGERY CENTER LTD,36C0001079,1366651242,DAYTON,OH,45432.0,2023,0.0,,0.03,,0.0,,0.01,,,5.0,,5.0,,,,,,5.0,,5.0,1.2,,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
MIAMI VALLEY AMBULATORY SURGERY CENTER LTD,36C0001079,1366651242,DAYTON,OH,45432.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,12.0,91.7,
SALINA SURGICAL ARTS CENTER LLC,17C0001085,1366681355,SALINA,KS,67401.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SALINA SURGICAL ARTS CENTER LLC,17C0001085,1366681355,SALINA,KS,67401.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,2.0,,1.0
PRINCE FREDERICK SURGERY CENTER LLC,21C0001502,1366684326,PRINCE FREDERICK,MD,20678.0,2023,,5.0,0.08,,,5.0,0.23,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,338.0,No Different Than the National Rate,2.7,1.9,4.0,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
PRINCE FREDERICK SURGERY CENTER LLC,21C0001502,1366684326,PRINCE FREDERICK,MD,20678.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,22.0,40.9,
LARGO AMBULATORY SURGERY CENTER,10C0001385,1366710741,LARGO,FL,33770.0,2023,,5.0,,5.0,,5.0,0.06,,,5.0,,5.0,,,,,,5.0,,5.0,0.26,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
LARGO AMBULATORY SURGERY CENTER,10C0001385,1366710741,LARGO,FL,33770.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,60.0,9.9,
ROXBURY SURGI CENTER LLC DBA WEST MORRIS SURGERY CENTER,31C0001115,1366713737,SUCCASUNNA,NJ,7876.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,49.0,No Different Than the National Rate,2.3,1.5,3.5,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
ROXBURY SURGI CENTER LLC DBA WEST MORRIS SURGERY CENTER,31C0001115,1366713737,SUCCASUNNA,NJ,7876.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
MEDINASUMMIT AMBULATORY SURGERY CENTER,36C0001263,1366761397,MEDINA,OH,44256.0,2023,0.0,,0.08,,0.0,,0.12,,100.0,,,5.0,54.0,No Different Than the National Rate,9.7,6.7,14.1,,98.84,,1.38,,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,,5.0
MEDINASUMMIT AMBULATORY SURGERY CENTER,36C0001263,1366761397,MEDINA,OH,44256.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,85.0,0.8,
MEMORIAL HERMANN SURGERY CENTER RICHMOND LLC,45C0001421,1366776106,RICHMOND,TX,77469.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,211.0,No Different Than the National Rate,9.3,6.3,13.1,,,5.0,,5.0,64.0,No Different Than the National Rate,2.4,1.5,3.8,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
MEMORIAL HERMANN SURGERY CENTER RICHMOND LLC,45C0001421,1366776106,RICHMOND,TX,77469.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,37.0,100.0,
KAISER FOUNDATION HEALTH PLAN OF THE MID ATLANTIC STATES INC,21C0001556,1366781700,LARGO,MD,20774.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,39.0,No Different than expected,1.0,0.5,2.0,,,,5.0
KAISER FOUNDATION HEALTH PLAN OF THE MID ATLANTIC STATES INC,21C0001556,1366781700,LARGO,MD,20774.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
UPSTATE GASTROENTEROLOGY LLC,33C0001129,1366799033,SYRACUSE,NY,13210.0,2023,,5.0,0.21,,,5.0,0.11,,87.5,,,5.0,118.0,No Different Than the National Rate,9.9,6.8,14.5,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
UPSTATE GASTROENTEROLOGY LLC,33C0001129,1366799033,SYRACUSE,NY,13210.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,14.0,0.0,
ADVANCED ENDOSCOPY CENTER GASTROENTEROLOGY,05C0002161,1366857377,MURRIETA,CA,92562.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,186.0,No Different Than the National Rate,10.0,6.9,14.4,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
ADVANCED ENDOSCOPY CENTER GASTROENTEROLOGY,05C0002161,1366857377,MURRIETA,CA,92562.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
GREAT SOUTH BAY ENDOSCOPY CENTER LLC,33C0001144,1366864514,EAST PATCHOGUE,NY,11772.0,2023,,5.0,0.01,,,5.0,0.11,,92.02,,,5.0,2396.0,No Different Than the National Rate,8.7,6.6,11.4,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
GREAT SOUTH BAY ENDOSCOPY CENTER LLC,33C0001144,1366864514,EAST PATCHOGUE,NY,11772.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,44.0,66.7,
PREMIER SURGERY CENTER LLC,34C0001196,1366868572,HIGH POINT,NC,27265.0,2023,,5.0,,5.0,,5.0,0.03,,99.37,,,5.0,36.0,No Different Than the National Rate,10.1,7.0,14.8,,99.26,,,5.0,40.0,No Different Than the National Rate,2.5,1.6,3.8,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
PREMIER SURGERY CENTER LLC,34C0001196,1366868572,HIGH POINT,NC,27265.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,37.0,70.3,
INNOVATIONS SURGERY CENTER PC,21C0001553,1366884322,ROCKVILLE,MD,20852.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,5.0
INNOVATIONS SURGERY CENTER PC,21C0001553,1366884322,ROCKVILLE,MD,20852.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
VINCERA SURGERY CENTER LLC,39C0001306,1366886913,PHILADELPHIA,PA,19112.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
VINCERA SURGERY CENTER LLC,39C0001306,1366886913,PHILADELPHIA,PA,19112.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
BRUNSWICK SURGERY CENTER,34C0001212,1366908469,LELAND,NC,28451.0,2023,0.0,,0.0,,0.0,,0.11,,,5.0,,5.0,,,,,,5.0,96.59,,,5.0,432.0,No Different Than the National Rate,2.2,1.5,3.1,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
BRUNSWICK SURGERY CENTER,34C0001212,1366908469,LELAND,NC,28451.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,161.0,0.0,
SKYWAY SURGERY CENTER LLC,10C0001646,1366935074,ST PETERSBURG,FL,33701.0,2023,,5.0,,5.0,,5.0,0.16,,,5.0,,5.0,,,,,,5.0,15.87,,,5.0,147.0,No Different Than the National Rate,2.2,1.4,3.2,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
SKYWAY SURGERY CENTER LLC,10C0001646,1366935074,ST PETERSBURG,FL,33701.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,76.0,0.0,
JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,10C0001319,1366982845,JACKSONVILLE,FL,32204.0,2023,0.0,,0.01,,0.0,,0.13,,71.27,,,5.0,4604.0,Worse Than the National Rate,12.6,10.3,15.3,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,10C0001319,1366982845,JACKSONVILLE,FL,32204.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,223.0,6.0,
CENTER FOR SPINE INTERVENTIONS ASC 3 LLC,11C0001478,1366989741,ACWORTH,GA,30101.0,2023,,5.0,,5.0,,5.0,0.31,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
CENTER FOR SPINE INTERVENTIONS ASC 3 LLC,11C0001478,1366989741,ACWORTH,GA,30101.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,44.0,4.6,
SURGICAL CENTER OF CENTRAL FLORIDA,10C0001633,1366994675,LAKELAND,FL,33803.0,2023,0.0,,0.0,,0.0,,0.68,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SURGICAL CENTER OF CENTRAL FLORIDA,10C0001633,1366994675,LAKELAND,FL,33803.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
BVA UNITED LLC DBA ALPHA SURGICAL CENTER,45C0001709,1376002469,TOMBALL,TX,77375.0,2023,,5.0,,5.0,,5.0,0.14,,57.78,,,5.0,136.0,No Different Than the National Rate,10.5,7.2,15.2,,81.6,,,5.0,124.0,No Different Than the National Rate,2.2,1.5,3.3,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
BVA UNITED LLC DBA ALPHA SURGICAL CENTER,45C0001709,1376002469,TOMBALL,TX,77375.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,41.0,0.0,
VIDANT MEDICAL GROUP DBA VIDANT ENDOSCOPY CENTER KINSTON,34C0001166,1376049619,KINSTON,NC,28501.0,2023,0.0,,0.07,,0.0,,0.0,,82.81,,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
