state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
MD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,32,1,10,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_CABG,Rate of readmission for CABG,0,11,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,43,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,42,1,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,32,0,11,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,36,8,0,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,41,1,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,2,0,29
ME,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,22,3,7
ME,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,6,25,2,1
ME,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,18,0,7,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,14,0,17,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,13,0,17,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,15,3,3,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,1,25,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,19,0,15,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,26,1,7,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,21,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,31,3,0,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,32,1,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,4,34,8,60
MI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,8,75,16,23
MI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,8,76,23,19
MI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,107,0,13,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,59,1,51,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,60,1,51,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,76,10,21,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,54,0,52,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_CABG,Rate of readmission for CABG,0,31,0,5,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,87,0,35,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,92,3,23,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,58,0,45,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),9,110,1,11,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,105,0,19,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,1,14,3,79
MN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,7,54,0,64
MN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,13,58,4,50
MN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,75,0,18,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,42,0,61,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,41,0,61,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,7,40,2,32,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,20,1,76,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_CABG,Rate of readmission for CABG,0,13,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,30,0,93,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,59,2,64,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,41,0,40,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,105,4,15,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,75,0,50,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,1,35,9,38
MO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,13,58,7,28
MO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,7,80,13,5
MO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,87,0,7,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,37,1,48,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,41,0,48,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,7,53,6,22,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,48,0,35,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_CABG,Rate of readmission for CABG,0,24,0,6,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,71,0,34,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,75,1,28,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,47,0,28,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,102,0,2,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,99,0,5,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5.0,07/01/2020,06/30/2023,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5.0,07/01/2020,06/30/2023,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5.0,07/01/2020,06/30/2023,Not Available,Not Available,Not Available,Not Available
MP,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5.0,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5.0,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5.0,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5.0,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,1,16,5,33
MS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,7,39,8,36
MS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,5,54,13,19
MS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,46,0,10,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,14,1,24,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,17,0,24,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,30,2,16,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,24,0,31,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_CABG,Rate of readmission for CABG,0,14,0,3,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,44,0,44,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,53,0,36,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,17,0,13,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,81,0,11,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,69,0,19,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,4,4,1,23
MT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,6,15,0,34
MT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,7,17,1,36
MT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,16,0,5,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,18,0,19,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,0,19,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,8,6,9,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,22,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,16,0,40,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,21,0,34,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,17,0,10,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,37,2,22,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,25,0,36,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,34,3,60
NC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,9,69,17,10
NC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,14,67,19,5
NC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,91,0,6,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,46,1,38,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,45,3,38,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,9,65,10,13,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,48,1,50,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_CABG,Rate of readmission for CABG,0,20,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,86,0,19,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,91,3,10,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,55,1,30,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,94,7,2,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,99,1,5,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,3,3,0,22
ND,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,12,1,29
ND,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,5,19,2,17
ND,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,15,1,4,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,7,0,20,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,20,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,4,3,10,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,22,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,11,0,31,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,15,0,29,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,7,0,4,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,39,0,6,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,26,0,17,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,14,0,42
NE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,5,29,2,48
NE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,8,48,5,23
NE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,63,0,14,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,13,0,55,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,13,0,55,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,21,3,43,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,18,0,38,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_CABG,Rate of readmission for CABG,0,8,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,25,0,56,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,35,1,48,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,24,0,31,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,79,1,8,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,61,0,23,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,8,2,14
NH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,21,2,3
NH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,3,21,1,1
NH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,16,0,4,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,15,0,11,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,13,0,11,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,11,2,4,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,13,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_CABG,Rate of readmission for CABG,0,4,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,20,0,6,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,23,0,3,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
